title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	tissue	strain	age (years)	gender	genetic condition	diet	local_files
M0606	GSM2132842	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	6	Male	Wild Type	standard	GSM2132842_M0606.overlap.txt.gz
M0607	GSM2132843	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	6	Male	Wild Type	standard	GSM2132843_M0607.overlap.txt.gz
M0608	GSM2132844	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	6	Male	Wild Type	standard	GSM2132844_M0608.overlap.txt.gz
M0609	GSM2132845	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	6	Male	Wild Type	standard	GSM2132845_M0609.overlap.txt.gz
M0610	GSM2132846	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	6	Male	Wild Type	standard	GSM2132846_M0610.overlap.txt.gz
M0801	GSM2132847	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132847_M0801.overlap.txt.gz
M0802	GSM2132848	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132848_M0802.overlap.txt.gz
M0803	GSM2132849	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132849_M0803.overlap.txt.gz
M0804	GSM2132850	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132850_M0804.overlap.txt.gz
M0805	GSM2132851	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132851_M0805.overlap.txt.gz
M0806	GSM2132852	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132852_M0806.overlap.txt.gz
M0807	GSM2132853	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132853_M0807.overlap.txt.gz
M0808	GSM2132854	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132854_M0808.overlap.txt.gz
M0810	GSM2132855	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	8	Male	Wild Type	standard	GSM2132855_M0810.overlap.txt.gz
M10_7501	GSM2132856	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132856_M10_7501.overlap.txt.gz
M10_7502	GSM2132857	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132857_M10_7502.overlap.txt.gz
M10_7504	GSM2132858	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132858_M10_7504.overlap.txt.gz
M10_7505	GSM2132859	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132859_M10_7505.overlap.txt.gz
M10_7506	GSM2132860	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132860_M10_7506.overlap.txt.gz
M10_7507	GSM2132861	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132861_M10_7507.overlap.txt.gz
M10_7508	GSM2132862	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132862_M10_7508.overlap.txt.gz
M10_7509	GSM2132863	Public on Apr 05 2017	Apr 26 2016	May 15 2019	SRA	1	Whole Blood	Mus musculus	whole blood	C57BL/6	10	Male	Wild Type	standard	GSM2132863_M10_7509.overlap.txt.gz
